Entidad,Sembrada (ha) [Oct18-Sep19],Cosechada (ha) [Oct18-Sep19],Siniestrada (ha) [Oct18-Sep19],Producción (ton) [Oct18-Sep19],Rendimiento (ton/ha)
Aguascalientes,34559,38798,1198,69807.47,1.8
Baja California,719.41,719.41,54,8659.14,12.12
Baja California Sur,6800.75,6800.75,0,53939.48,8.23
Campeche,174051.5,74289.5,5135.5,162147.63,2.18
Coahuila,19325,30373,4900,30929.28,1.02
Colima,12814.27,13688,0,58558.71,4.28
Chiapas,689822.29,672812.27,17010.02,782438.17,1.68
Chihuahua,214769.12,214493.12,136.3,1477281.33,7.13
Ciudad de México,3484.13,3575,80,4834.58,1.35
Durango,121350.21,118266.21,8928.45,133053.45,1.51
Guanajuato,395789.7,277782.34,6950,1391741.15,5.01
Guerrero,491301.24,453209.95,44701.42,907690.01,2.72
Hidalgo,231585.21,194046.55,21944.06,688991.6,3.21
Jalisco,589681.06,589681.06,0,1684443.87,6.76
México,475809.03,469318.66,0,1525646.96,3.82
Michoacán,441388.01,416775.01,6207,1343352.49,4.49
Morelos,37082.8,23794.8,0,86523.16,3.64
Nayarit,26003,25979,1798.75,61933.12,4.37
Nuevo León,63332.84,63072.84,934,47511.33,0.82
Oaxaca,497732.21,463265.71,30606,624119.36,1.4
Puebla,532963.63,517820.96,30,893554.07,2
Querétaro,89997.76,67329.92,18930.01,181403.37,2.73
Quintana Roo,55529.15,45559.03,9601.91,47604.57,1.04
San Luis Potosí,124098.1,108791.95,98984,143733.63,1.32
Sinaloa,557279.25,556430.84,1493.41,6335817.76,11.83
Sonora,63400.66,59677,1340,692277.31,11.6
Tabasco,82265,79436,4906,150204.85,1.89
Tamaulipas,186946.55,170806.42,17388.88,820971.23,4.81
Tlaxcala,104782.27,71864,0,215295.04,3
Veracruz,574332.8,510627.49,78432.75,907570.19,2.18
Yucatán,112581.96,53017.03,665.7,74050.27,1.4
Zacatecas,142877,94859.4,2080,329558.04,1.99
0,2613,4134419.11,99221.94,12676611.93,3.07
